idx,token,csv_score,csv_nc,csv_dac,csv_ep,csv_ttc,csv_comfort,ar_score,ar_nc,ar_dac,ar_ep,ar_ttc,ar_comfort,human_score,human_nc,human_dac,human_ep,bev_path,combined_path
0,000d6961709c5904,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/000_0.0000_000d6961709c5904_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/000_0.0000_000d6961709c5904_combined.png
1,00fcad6d092c5e8e,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/001_0.0000_00fcad6d092c5e8e_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/001_0.0000_00fcad6d092c5e8e_combined.png
2,01d061d9a66451ea,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/002_0.0000_01d061d9a66451ea_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/002_0.0000_01d061d9a66451ea_combined.png
3,04f548a98d695310,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/003_0.0000_04f548a98d695310_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/003_0.0000_04f548a98d695310_combined.png
4,04fbbb5817255f30,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/004_0.0000_04fbbb5817255f30_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/004_0.0000_04fbbb5817255f30_combined.png
5,059ce9cd10135396,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.965720201605599,1.0,1.0,0.9177284838534375,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/005_0.0000_059ce9cd10135396_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/005_0.0000_059ce9cd10135396_combined.png
6,0695553567185c3c,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/006_0.0000_0695553567185c3c_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/006_0.0000_0695553567185c3c_combined.png
7,07e885122c9b5bd1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9676264967584954,1.0,1.0,0.9223035922203893,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/007_0.0000_07e885122c9b5bd1_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/007_0.0000_07e885122c9b5bd1_combined.png
8,0aee34efc8445718,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.963673477103716,1.0,1.0,0.9128163450489182,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/008_0.0000_0aee34efc8445718_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/008_0.0000_0aee34efc8445718_combined.png
9,0bf961d076bc5a15,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/009_0.0000_0bf961d076bc5a15_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/009_0.0000_0bf961d076bc5a15_combined.png
10,0c4bafb20cea5e44,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/010_0.0000_0c4bafb20cea5e44_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/010_0.0000_0c4bafb20cea5e44_combined.png
11,0e272e003af65a71,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8305061179585153,1.0,1.0,0.5932146831004366,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/011_0.0000_0e272e003af65a71_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/011_0.0000_0e272e003af65a71_combined.png
12,0e6cae45fdd5536b,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9726042730322463,1.0,1.0,0.9342502552773911,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/012_0.0000_0e6cae45fdd5536b_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/012_0.0000_0e6cae45fdd5536b_combined.png
13,0ffcae2811b257ee,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/013_0.0000_0ffcae2811b257ee_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/013_0.0000_0ffcae2811b257ee_combined.png
14,10909749099354e6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/014_0.0000_10909749099354e6_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/014_0.0000_10909749099354e6_combined.png
15,11482e143a4e5dec,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8497757072898772,1.0,1.0,0.6394616974957051,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/015_0.0000_11482e143a4e5dec_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/015_0.0000_11482e143a4e5dec_combined.png
